station_id,station_name,total_starts,total_ends,net_imbalance,total_volume
6578.01,W 34 St & 11 Ave,6750,6684,66,13434
6283.05,48 St & Skillman Ave,1577,1512,65,3089
5584.04,E 6 St & Ave B,9353,9288,65,18641
4345.11,Fulton St & Waverly Ave,5447,5383,64,10830
4157.15,Prospect Pl & Vanderbilt Ave,3991,3927,64,7918
5115.01,Onderdonk Ave & Dekalb Ave,1380,1316,64,2696
8348.02,Popham Ave & W 174 St,646,582,64,1228
6092.01,47 Ave & 48 St,668,605,63,1273
4452.01,Lafayette Ave & Classon Ave,4582,4519,63,9101
4700.06,Park Ave & St Edwards St,1527,1464,63,2991
6854.05,W 50 St & 9 Ave,7208,7146,62,14354
5294.04,Henry St & Grand St,10647,10585,62,21232
4550.05,Central Ave & Covert St,1173,1111,62,2284
4116.08,Prospect Pl & Underhill Ave,3457,3395,62,6852
8432.11,Amsterdam Ave & W 189 St,382,320,62,702
4383.06,Hancock St & Stuyvesant Ave,1677,1616,61,3293
8092.06,Grand Concourse & E 166 St,1217,1156,61,2373
6209.05,43 Ave & 47 St,1120,1060,60,2180
3919.12,Eastern Pkwy & Franklin Ave (SW Corner),1916,1856,60,3772
4461.01,Clermont Ave & Lafayette Ave,4209,4150,59,8359
6627.12,93 St & Northern Blvd,748,689,59,1437
8054.04,Riverside Dr & W 148 St,705,646,59,1351
7909.07,Westchester Ave & Longwood Ave,1076,1018,58,2094
4617.01,Lewis Ave & Kosciuszko St,2031,1973,58,4004
6711.13,Steinway St & Broadway,5354,5297,57,10651
3943.03,St Johns Pl & Kingston Ave,1565,1508,57,3073
4214.04,Verona Pl & Fulton St,1074,1018,56,2092
5335.03,Bialystoker Pl & Delancey St,4686,4630,56,9316
4334.02,Halsey St & Ralph Ave,1060,1004,56,2064
4623.02,Knickerbocker Ave & Halsey St,946,891,55,1837
3651.04,West Drive & Prospect Park West,9707,9652,55,19359
4031.05,St Marks Ave & Ralph Ave,453,398,55,851
3161.02,46 St & 6 Ave,472,417,55,889
6893.1,31 Ave & Crescent St,819,765,54,1584
7991.01,Tinton Ave & E 165 St,550,496,54,1046
4148.07,Pacific St & Classon Ave,2342,2289,53,4631
4190.06,Grand Ave & Bergen St,3520,3467,53,6987
4600.09,Bushwick Ave & Linden St,1870,1817,53,3687
5117.05,Stagg St & Union Ave,4782,4730,52,9512
3202.06,48 St & 5 Ave,1035,983,52,2018
3117.05,46 St & 7 Ave,1051,999,52,2050
6569.09,W 35 St & 9 Ave,3864,3812,52,7676
3934.06,Sterling Pl & Schenectady Ave,612,561,51,1173
7458.03,W 87 St & Amsterdam Ave,6040,5989,51,12029
4751.01,Cedar St & Myrtle Ave,1544,1494,50,3038
4656.03,Pulaski St & Marcus Garvey Blvd,2583,2533,50,5116
6786.02,W 47 St & 9 Ave,8760,8711,49,17471
5484.09,Allen St & Stanton St,11881,11832,49,23713
8535.01,Buchanan Pl & Grand Ave,546,498,48,1044
5436.09,Ave D & E 3 St,6999,6951,48,13950
3515.01,7 Ave & 22 St,916,868,48,1784
4697.01,Throop Ave & Myrtle Ave,1614,1566,48,3180
4042.08,Underhill Ave & Lincoln Pl,4061,4013,48,8074
7981.27,W 140 St & Riverside Dr,749,701,48,1450
4181.10,Brevoort Pl & Bedford Ave,1094,1046,48,2140
8635.08,Grand Concourse & E 196 St,593,546,47,1139
8555.05,Loring Pl North & W 183 St,466,419,47,885
6292.03,43 Ave & 40 St,1485,1438,47,2923
6438.04,11 St & 43 Ave,706,660,46,1366
