station_id,station_name,total_starts,total_ends,net_imbalance,total_volume
7116.04,W 67 St & Broadway,11344,11298,46,22642
6626.01,E 48 St & 5 Ave,10686,10640,46,21326
6896.16,E 68 St & 3 Ave,7124,7078,46,14202
4196.01,Lewis Ave & Fulton St,526,480,46,1006
4491.09,Monroe St & Patchen Ave,1242,1197,45,2439
8021.11,Grand Concourse & E 161 St,2179,2134,45,4313
8353.09,Amsterdam Ave & W 183 St,602,557,45,1159
7453.01,Central Park W & W 91 St,8514,8469,45,16983
6594.02,85 St & Northern Blvd,743,699,44,1442
4228.06,Chauncey St & Malcolm X Blvd,952,908,44,1860
4798.1,Stephen St & Seneca Ave,79,35,44,114
8254.01,W 170 St & University Ave,755,711,44,1466
6735.03,50 St & 30 Ave,1034,990,44,2024
3905.15,3 St & 7 Ave,6585,6542,43,13127
4170.08,Somers St & Rockaway Ave,502,459,43,961
5626.15,1 Ave & E 6 St,11859,11816,43,23675
7074.01,Steinway St & Ditmars Blvd,1029,986,43,2015
8160.03,Sheridan Ave & E 168 St,1082,1040,42,2122
4064.03,Bergen St & Saratoga Ave,419,377,42,796
4425.02,Lewis Ave & Madison St,2640,2598,42,5238
6176.11,40 St & Queens Blvd,1728,1686,42,3414
6441.01,Broadway & W 36 St,6005,5963,42,11968
8366.07,University Ave & Brandt Pl,663,622,41,1285
8048.04,Boston Rd & E 167 St,1103,1062,41,2165
7059.08,West End Ave & W 60 St,14466,14425,41,28891
8494.07,E 182 St & Grand Concourse,566,525,41,1091
5084.03,Division Ave & Marcy Ave,1174,1133,41,2307
4648.03,Malcolm X Blvd & DeKalb Ave,1726,1686,40,3412
4140.03,Pacific St & Nostrand Ave,3094,3054,40,6148
7363.04,20 Ave & 21 St,374,334,40,708
7009.06,43 St & 23 Ave,910,870,40,1780
6356.01,87 St & Roosevelt Ave,402,362,40,764
6659.03,E 53 St & Madison Ave,6087,6047,40,12134
8299.03,Wadsworth Ave & W 175 St,1367,1327,40,2694
4285.09,Rockaway Ave & Bainbridge St,1285,1245,40,2530
5515.02,E 2 St & Ave B,10288,10248,40,20536
8163.05,Southern Blvd & E 174 St,1184,1145,39,2329
4222.02,Lefferts Pl & Franklin Ave,3497,3458,39,6955
6401.01,43 St & 37 Ave,368,329,39,697
8069.01,Amsterdam Ave & W 152 St,1443,1404,39,2847
6890.01,W 53 St & 10 Ave,9534,9495,39,19029
6316.05,39 Dr & 52 St,1206,1167,39,2373
7981.16,Broadway & W 142 St,1439,1400,39,2839
4620.02,Adelphi St & Myrtle Ave,6293,6255,38,12548
6390.05,93 St & Roosevelt Ave,177,139,38,316
5944.01,Franklin St & Dupont St,8445,8408,37,16853
6774.13,30 Ave & 47 St,1170,1133,37,2303
4954.07,Madison St & Woodward Ave,1091,1054,37,2145
6636.04,32 Ave & 84 St,390,353,37,743
4375.02,Jefferson Ave & Patchen Ave,938,901,37,1839
4843.01,5 St & Market St,2287,2251,36,4538
4818.02,Nostrand Ave & Flushing Ave,788,752,36,1540
8194.06,Grand Concourse & E 171 St,607,572,35,1179
8653.09,Jerome Ave & W 195 St,959,924,35,1883
8472.06,Valentine Ave & E 183 St,388,353,35,741
8226.05,W 165 St & Fort Washington Ave,979,944,35,1923
6670.03,43 St & Broadway,1855,1820,35,3675
8242.04,Amsterdam Ave & W 172 St,672,637,35,1309
8118.02,Franklin Ave & E 169 St,1149,1115,34,2264
3814.01,Buffalo Ave & E New York Ave,607,573,34,1180
6089.11,E 26 St & 3 Ave,8685,8651,34,17336
4119.04,Clinton St & 4 Place,2735,2701,34,5436
7126.01,21 St & Hoyt Ave S,2303,2269,34,4572
8108.02,Riverside Dr & W 153 St,808,774,34,1582
6732.01,E 56 St & Madison Ave,6670,6636,34,13306
6847.05,7 Ave & W 55 St,6931,6898,33,13829
4921.04,Cypress Ave & Palmetto St,583,550,33,1133
3925.03,Sterling Pl & Rochester Ave,298,265,33,563
6798.01,34 Ave & 21 St,1157,1124,33,2281
7865.09,Broadway & W 131 St,2453,2420,33,4873
6435.03,50 St & Barnett Ave,1098,1065,33,2163
6932.14,E 67 St & Park Ave,4573,4540,33,9113
8316.02,Audubon Ave & W 179 St,725,692,33,1417
6667.04,W 47 St & 6 Ave,6170,6138,32,12308
4205.06,Kingston Ave & Herkimer St,1531,1499,32,3030
8520.01,Andrew Ave N & Hall of Fame Tce,600,569,31,1169
6453.02,34 St & 38 Ave,1309,1278,31,2587
7271.01,Shore Blvd & Astoria Park,870,839,31,1709
4724.03,Washington Ave & Park Ave,5118,5087,31,10205
4715.01,Franklin Ave & Myrtle Ave,1785,1755,30,3540
7538.14,W 100 St & Manhattan Ave,6007,5977,30,11984
6602.03,W 41 St & 8 Ave,19277,19247,30,38524
7920.05,Amsterdam Ave & W 136 St,1736,1706,30,3442
4203.04,Somers St & Broadway,147,117,30,264
4408.07,Macon St & Howard Ave,590,560,30,1150
8278.05,Amsterdam Ave & W 175 St,875,845,30,1720
6656.05,21 St & 38 Ave,623,593,30,1216
3822.08,Schenectady Ave & President St,739,710,29,1449
6260.04,36 St & Queens Blvd,1042,1013,29,2055
7039.03,Ditmars Blvd & 43 St,1841,1812,29,3653
